WK_ID,AREA_ID,BASIN_ID,KOMITMEN_ID,JENIS_KEGIATAN_ID,HOLDING_ID,JENIS_WK_ID,TIPE_KEGIATAN_ID,JENIS_UNIT_ID,HDR_PSC_ID
('WK00000024',4,5,0,48,12,367,366,29,65),
('WK00000024',4,5,0,48,12,367,366,29,65),
('WK00000516',1,,1,196,2,367,366,30,9),
('WK00000516',1,,1,60,2,367,366,31,9),
('WK00000041',9,12,3,253,5,367,366,29,55),
('WK00000041',9,12,3,245,5,367,366,40,55),
('WK00000041',9,12,3,253,5,367,366,29,55),
('WK00000041',9,12,3,227,5,367,366,31,55),
('WK00000042',8,,2,46,1,367,366,29,180),
('WK00000042',8,,2,119,1,367,366,30,180),
('WK00000042',8,,2,46,1,367,366,29,180),
('WK00000057',3,4,2,123,14,367,366,30,7),
('WK00000057',3,4,2,46,14,367,366,29,7),
('WK00000057',3,4,2,105,14,367,366,32,7),
('WK00000057',3,4,2,46,14,367,366,29,7),
('WK00000057',3,4,2,123,14,367,366,30,7),
('WK00000057',3,4,2,46,14,367,366,29,7),
('WK00000057',3,4,2,46,14,367,366,29,7),
('WK00000082',12,11,2,31,12,367,366,29,57),
('WK00000082',12,11,2,31,12,367,366,29,57),
('WK00000082',12,11,2,92,12,367,366,33,57),
('WK00000082',12,11,2,59,12,367,366,31,57),
('WK00000082',12,11,2,251,12,367,366,29,57),
('WK00000082',12,11,2,92,12,367,366,33,57),
('WK00000082',12,11,2,251,12,367,366,29,57),
('WK00000082',12,11,2,251,12,367,366,29,57),
('WK00000082',12,11,2,46,12,367,366,29,57),
('WK00000082',12,11,2,92,12,367,366,33,57),
('WK00000082',12,11,2,46,12,367,366,29,57),
('WK00000082',12,11,2,46,12,367,366,29,57),
('WK00000082',12,11,2,46,12,367,366,29,57),
('WK00000082',12,11,2,46,12,367,366,29,57),
('WK00000082',12,11,2,46,12,367,366,29,57),
('WK00000082',12,11,2,59,12,367,366,31,57),
('WK00000082',12,11,2,46,12,367,366,29,57),
('WK00000082',12,11,2,46,12,367,366,29,57),
('WK00000081',9,12,2,60,3,367,366,31,27),
('WK00000081',9,12,2,216,3,367,366,30,27),
('WK00000081',9,12,2,103,3,367,366,29,27),
('WK00000081',9,12,2,103,3,367,366,29,27),
('WK00000081',9,12,2,60,3,367,366,31,27),
('WK00000081',9,12,2,210,3,367,366,32,27),
('WK00000081',9,12,2,103,3,367,366,29,27),
('WK00000081',9,12,2,103,3,367,366,29,27),
('WK00000081',9,12,2,60,3,367,366,31,27),
('WK00000081',9,12,2,103,3,367,366,29,27),
('WK00000081',9,12,2,103,3,367,366,29,27),
('WK00000081',9,12,2,101,3,367,366,29,27),
('WK00000081',9,12,2,101,3,367,366,29,27),
('WK00000096',4,5,3,223,17,367,366,31,39),
('WK00000096',4,5,3,154,17,367,366,29,39),
('WK00000113',11,13,3,228,5,367,366,31,31),
('WK00000113',11,13,3,128,5,367,366,30,31),
('WK00000175',12,11,2,60,18,367,366,31,20),
('WK00000175',12,11,2,60,18,367,366,31,20),
('WK00000175',12,11,2,46,18,367,366,29,20),
('WK00000175',12,11,2,46,18,367,366,29,20),
('WK00000175',12,11,2,201,18,367,366,33,20),
('WK00000175',12,11,2,60,18,367,366,31,20),
('WK00000175',12,11,2,46,18,367,366,29,20),
('WK00000175',12,11,2,46,18,367,366,29,20),
('WK00000175',12,11,2,201,18,367,366,33,20),
('WK00000175',12,11,2,60,18,367,366,31,20),
('WK00000175',12,11,2,46,18,367,366,29,20),
('WK00000175',12,11,2,60,18,367,366,31,20),
('WK00000175',12,11,2,46,18,367,366,29,20),
('WK00000486',0,11,2,84,17,367,366,34,42),
('WK00000486',0,11,2,59,17,367,366,31,42),
('WK00000486',0,11,2,139,17,367,366,30,42),
('WK00000486',0,6,2,109,17,367,366,32,42),
('WK00000486',0,6,2,59,17,367,366,31,42),
('WK00000486',0,6,2,54,17,367,366,35,42),
('WK00000486',0,11,2,59,17,367,366,31,42),
('WK00000486',0,6,2,59,17,367,366,31,42),
('WK00000486',0,6,2,116,17,367,366,31,42),
('WK00000486',0,6,2,55,17,367,366,35,42),
('WK00000486',0,6,2,115,17,367,366,33,42),
('WK00000486',0,6,2,114,17,367,366,33,42),
('WK00000486',0,11,2,59,17,367,366,31,42),
('WK00000486',0,11,2,100,17,367,366,29,42),
('WK00000486',0,6,2,59,17,367,366,31,42),
('WK00000486',0,6,2,116,17,367,366,31,42),
('WK00000486',0,6,2,55,17,367,366,35,42),
('WK00000486',0,6,2,114,17,367,366,33,42),
('WK00000486',0,6,2,114,17,367,366,33,42),
('WK00000486',0,11,2,59,17,367,366,31,42),
('WK00000486',0,11,2,100,17,367,366,29,42),
('WK00000486',0,6,2,59,17,367,366,31,42),
('WK00000486',0,6,2,94,17,367,366,34,42),
('WK00000486',0,11,2,100,17,367,366,29,42),
('WK00000486',0,11,2,138,17,367,366,30,42),
('WK00000486',0,6,2,59,17,367,366,31,42),
('WK00000187',9,12,3,237,5,367,366,31,40),
('WK00000187',9,12,3,154,5,367,366,29,40),
('WK00000199',5,8,2,248,19,367,366,31,26),
('WK00000199',5,8,2,46,19,367,366,29,26),
('WK00000199',5,8,2,248,19,367,366,31,26),
('WK00000199',5,8,2,46,19,367,366,29,26),
('WK00000199',5,8,2,248,19,367,366,31,26),
('WK00000199',5,8,2,46,19,367,366,29,26),
('WK00000199',5,8,2,46,19,367,366,29,26),
('WK00000199',5,8,2,120,19,367,366,30,26),
('WK00000199',5,8,2,248,19,367,366,31,26),
('WK00000199',5,8,2,46,19,367,366,29,26),
('WK00000199',5,8,2,248,19,367,366,31,26),
('WK00000221',12,11,0,130,8,367,366,30,13),
('WK00000221',12,11,0,48,8,367,366,29,13),
('WK00000221',12,11,0,48,8,367,366,29,13),
('WK00000222',12,11,3,110,12,367,366,32,61),
('WK00000222',12,11,3,228,12,367,366,31,61),
('WK00000229',1,4,0,59,7,367,366,31,58),
('WK00000229',1,4,0,131,7,367,366,30,58),
('WK00000229',1,4,0,48,7,367,366,29,58),
('WK00000229',1,4,0,48,7,367,366,29,58),
('WK00000231',4,5,3,234,17,367,366,31,8),
('WK00000231',4,5,3,185,17,367,366,31,8),
('WK00000231',4,5,3,184,17,367,366,31,8),
('WK00000231',4,5,3,186,17,367,366,31,8),
('WK00000231',4,5,3,233,17,367,366,31,8),
('WK00000231',4,5,3,154,17,367,366,29,8),
('WK00000231',4,5,3,154,17,367,366,29,8),
('WK00000237',9,12,2,105,5,367,366,32,32),
('WK00000237',9,12,2,46,5,367,366,29,32),
('WK00000237',9,12,2,228,5,367,366,31,32),
('WK00000237',9,12,2,46,5,367,366,29,32),
('WK00000237',9,12,2,123,5,367,366,30,32),
('WK00000237',9,12,2,46,5,367,366,29,32),
('WK00000237',9,12,2,46,5,367,366,29,32),
('WK00000237',9,12,2,46,5,367,366,29,32),
('WK00000237',9,12,2,46,5,367,366,29,32),
('WK00000302',11,13,3,240,17,367,366,31,19),
('WK00000302',11,13,3,209,17,367,366,32,19),
('WK00000302',11,13,3,154,17,367,366,29,19),
('WK00000314',2,1,3,228,17,367,366,31,21),
('WK00000314',2,1,3,21,17,367,366,32,21),
('WK00000314',2,1,3,101,17,367,366,29,21),
('WK00000320',12,11,3,240,17,367,366,31,41),
('WK00000320',12,11,3,169,17,367,366,29,41),
('WK00000320',12,11,3,28,17,367,366,29,41),
('WK00000320',12,11,3,240,17,367,366,31,41),
('WK00000320',12,11,3,46,17,367,366,29,41),
('WK00000327',3,3,2,59,21,367,366,31,24),
('WK00000327',3,3,2,22,21,367,366,30,24),
('WK00000327',3,3,2,59,21,367,366,31,24),
('WK00000327',3,3,2,22,21,367,366,30,24),
('WK00000327',3,3,2,154,21,367,366,29,24),
('WK00000327',3,3,2,59,21,367,366,31,24),
('WK00000327',3,3,2,154,21,367,366,29,24),
('WK00000327',3,3,2,59,21,367,366,31,24),
('WK00000327',3,3,2,154,21,367,366,29,24),
('WK00000327',3,3,2,59,21,367,366,31,24),
('WK00000327',3,3,2,154,21,367,366,29,24),
('WK00000490',12,11,2,154,17,367,366,29,33),
('WK00000348',12,11,2,48,12,367,366,29,2),
('WK00000348',12,11,2,60,12,367,366,31,2),
('WK00000348',12,11,2,209,12,367,366,32,2),
('WK00000492',9,12,2,228,17,367,366,31,62),
('WK00000492',9,12,2,228,17,367,366,31,62),
('WK00000492',9,12,2,217,17,367,366,30,62),
('WK00000492',9,12,2,103,17,367,366,29,62),
('WK00000492',9,12,2,103,17,367,366,29,62),
('WK00000492',9,12,2,228,17,367,366,31,62),
('WK00000492',9,12,2,217,17,367,366,30,62),
('WK00000492',9,12,2,133,17,367,366,29,62),
('WK00000492',9,12,2,133,17,367,366,29,62),
('WK00000492',9,12,2,133,17,367,366,29,62),
('WK00000492',9,12,2,133,17,367,366,29,62),
('WK00000492',9,12,2,228,17,367,366,31,62),
('WK00000492',9,12,2,103,17,367,366,29,62),
('WK00000492',9,12,2,103,17,367,366,29,62),
('WK00000492',9,12,2,228,17,367,366,31,62),
('WK00000492',9,12,2,117,17,367,366,29,62),
('WK00000492',9,12,2,117,17,367,366,29,62),
('WK00000492',9,12,2,117,17,367,366,29,62),
('WK00000494',5,8,2,248,19,367,366,31,50),
('WK00000494',5,8,2,46,19,367,366,29,50),
('WK00000494',5,8,2,228,19,367,366,31,50),
('WK00000494',5,8,2,123,19,367,366,30,50),
('WK00000494',5,8,2,228,19,367,366,31,50),
('WK00000494',5,8,2,46,19,367,366,29,50),
('WK00000494',5,8,2,228,19,367,366,31,50),
('WK00000494',5,8,2,228,19,367,366,31,50),
('WK00000363',4,5,3,59,17,367,366,31,11),
('WK00000363',4,5,3,137,17,367,366,31,11),
('WK00000363',4,5,3,154,17,367,366,29,11),
('WK00000363',4,5,3,154,17,367,366,29,11),
('WK00000363',4,5,3,154,17,367,366,29,11),
('WK00000363',4,5,3,154,17,367,366,29,11),
('WK00000506',,,2,228,22,367,366,31,28),
('WK00000506',,,2,228,22,367,366,31,28),
('WK00000506',,,2,228,22,367,366,31,28),
('WK00000506',,,2,140,22,367,366,30,28),
('WK00000506',,,2,228,22,367,366,31,28),
('WK00000506',,,2,140,22,367,366,30,28),
('WK00000506',,,2,154,22,367,366,29,28),
('WK00000506',,,2,228,22,367,366,31,28),
('WK00000506',,,2,154,22,367,366,29,28),
('WK00000378',7,7,0,73,10,367,366,31,47),
('WK00000378',7,7,0,73,10,367,366,31,47),
('WK00000380',10,9,2,60,6,367,366,31,5),
('WK00000380',10,9,2,103,6,367,366,29,5),
