ID,KEGIATAN,CREATE_BY,CREATE_DATE,KATEGORI_ID
20,Akuisisi dan Processing Seismik 2D,SYSTEM,00:00.0,
21,Akuisisi dan Processing seismik 2D / 3D,SYSTEM,00:00.0,
22,Akuisisi dan Processing Seismik 3D,SYSTEM,00:00.0,
23,Akuisisi Seismik 2D dan Processing,SYSTEM,00:00.0,
24,Akuisisi Seismik 3D,SYSTEM,00:00.0,
25,Akuisisi Seismik 3D dan Processing,SYSTEM,00:00.0,
26,Akusisi dan Processing Seismik 2D,SYSTEM,00:00.0,
27,Akusisi dan Processing Vibroseis 2D,SYSTEM,00:00.0,
28,Appraisal Well,SYSTEM,00:00.0,
29,Core Hole Drilling,SYSTEM,00:00.0,
30,Dayung lower Palembang-1,SYSTEM,00:00.0,
31,Dayung Telisa Deliniation,SYSTEM,00:00.0,
32,Delination Well,SYSTEM,00:00.0,
33,Delineation Well,SYSTEM,00:00.0,
34,Development Well,SYSTEM,00:00.0,
35,Development Wells,SYSTEM,00:00.0,
36,Drill one deep well,SYSTEM,00:00.0,
37,Drill one exploration well,SYSTEM,00:00.0,
38,Drill one well,SYSTEM,00:00.0,
39,Drill three exploration well,SYSTEM,00:00.0,
40,Drill two shallow wells,SYSTEM,00:00.0,
41,EOR Field Trial,SYSTEM,00:00.0,
42,EOR Pilot,SYSTEM,00:00.0,
43,EOR Pilot & Monitoring,SYSTEM,00:00.0,
44,EOR Study - Makmur Chemical Injection,SYSTEM,00:00.0,
45,Exploitation Well,SYSTEM,00:00.0,
46,Exploration Well,SYSTEM,00:00.0,
47,Exploration Well*,SYSTEM,00:00.0,
48,Exploratory Well,SYSTEM,00:00.0,
49,Facility Maintenance,SYSTEM,00:00.0,
50,Fasilitas Produksi,SYSTEM,00:00.0,
51,Field Reactivation,SYSTEM,00:00.0,
52,FTG Gravity-Magnetic (Modelling),SYSTEM,00:00.0,
53,FTG/ Gravity- Magnetic,SYSTEM,00:00.0,
54,FTG/Gravity-Magnetic berupa Acquisisi dan processing,SYSTEM,00:00.0,
55,FTG/Gravity-Magnetic berupa Acquisisi dan processing/Pembelian Data Baru,SYSTEM,00:00.0,
56,Full Field CEOR Kaji Semoga Phase 1,SYSTEM,00:00.0,
57,G and G,SYSTEM,00:00.0,
58,G and G Study,SYSTEM,00:00.0,
59,G&G,SYSTEM,00:00.0,
60,G&G Study,SYSTEM,00:00.0,
61,G&G**,SYSTEM,00:00.0,
62,G&G***,SYSTEM,00:00.0,
63,"Gemah CO2, EOR Flooding Phase 1",SYSTEM,00:00.0,
64,"Geological, geophysical and engieering review",SYSTEM,00:00.0,
65,"Geological, Geophysical and engineering review, drilling of one well",SYSTEM,00:00.0,
66,"Geological, geophysical and engineering study, drill of two appraisal wells and five development wells, commencement of installation of new field production facilities",SYSTEM,00:00.0,
67,"Geological, geophysical and engineering study, drilling of four appraisal/development wells, commencement of installation of produnction facilities",SYSTEM,00:00.0,
68,"Geological, geophysical and engineering study, drilling of one exploration well",SYSTEM,00:00.0,
69,"Geological, geophysical and engineering study, drilling of seven development wells, completion of installation of new field production facillities",SYSTEM,00:00.0,
70,"Geological, geophysical and engineering study, drilling of twelve development wells, completion of installation of production facilities",SYSTEM,00:00.0,
71,"Geological, geophysical and engineering study, drilling of two wells",SYSTEM,00:00.0,
72,GGR,SYSTEM,00:00.0,
73,GGR Study,SYSTEM,00:00.0,
74,GGRE Study,SYSTEM,00:00.0,
75,GGRP / Flow Unit Study,SYSTEM,00:00.0,
76,Gravity Magnetic berupa Acquisition & Processing,SYSTEM,00:00.0,
77,Gravity Magnetic berupa Acquisition & Processing atau Pembelian Data Baru,SYSTEM,00:00.0,
78,Horizontal Multi Stage Fracturing Pilot Study,SYSTEM,00:00.0,
79,Infill Drilling,SYSTEM,00:00.0,
80,Infill Well Drilling,SYSTEM,00:00.0,
81,Integrated G&G Regional Study,SYSTEM,00:00.0,
82,Integrated G&G Regional Study Kalimantan Utara,SYSTEM,00:00.0,
83,Integration G&G Study (Inc. Reprocessing Seismik 2D),SYSTEM,00:00.0,
84,Izin Area Konservasi,SYSTEM,00:00.0,
85,Kegiatan Eksploitasi yang dilakukan pada fasilitas produksi existing,SYSTEM,00:00.0,
86,Lofin Post Study,SYSTEM,00:00.0,
87,Lofin Post Well Study,SYSTEM,00:00.0,
88,Lofin-2 Revisited + Prolong Test (Eksplorasi),SYSTEM,00:00.0,
89,Lofin-2 Revisited + Prolong Test (Exploration),SYSTEM,00:00.0,
90,Makmur Chemical EOR Injection,SYSTEM,00:00.0,
91,Other Prospect,SYSTEM,00:00.0,
92,Paket 3D Seismic Acquisition,SYSTEM,00:00.0,
93,Pembelian Data Multiclient TGS Pseudo-3D Seismic,SYSTEM,00:00.0,
94,Pembiayaan Survei Area Pengganti Daerah Latihan TNI AL*****,SYSTEM,00:00.0,
95,Pemboran 1 sumur Eksplorasi,SYSTEM,00:00.0,
96,Pemboran 3 Sumur Pengembangan (Grid Based Drilling),SYSTEM,00:00.0,
97,Pemboran Appraisal,SYSTEM,00:00.0,
98,Pemboran Eksploitasi,SYSTEM,00:00.0,
99,1 Exploration Well Drilling,SYSTEM,00:00.0,
100,1 Exploratory Well,SYSTEM,00:00.0,
101,1 Sumur Eksplorasi,SYSTEM,00:00.0,
102,2 Studi Lab Analysis,SYSTEM,00:00.0,
103,2 Sumur Eksplorasi,SYSTEM,00:00.0,
104,2D Seismic Acquisition,SYSTEM,00:00.0,
105,2D Seismic Acquisition & Processing,SYSTEM,00:00.0,
106,2D Seismic Acquisition & processing 500 km,SYSTEM,00:00.0,
107,2D Seismic Acquisition and Processing,SYSTEM,00:00.0,
108,2D Seismic berupa Acquisition&Processing,SYSTEM,00:00.0,
109,2D Seismik Akuisisi dan processing,SYSTEM,00:00.0,
110,2D Seismik Akuisisi dan processing 100 km,SYSTEM,00:00.0,
