ID,UNIT,CREATE_BY,CREATE_DATE,ID,UNIT,ID
2,Paket,System,,2,PAKET,2
20,km,SYSTEM,,20,KM,20
21,paket,SYSTEM,,21,PAKET,21
22,proyek,SYSTEM,,22,PROYEK,22
23,Pilot Area,SYSTEM,,23,PILOT AREA,23
24,Package,SYSTEM,,24,PACKAGE,24
25,Well,SYSTEM,,25,WELL,25
38,Drilling Package,SYSTEM,,38,DRILLING PACKAGE,38
27,sub paket,SYSTEM,,27,SUB PAKET,27
28,kegiatan,SYSTEM,,28,KEGIATAN,28
29,Bor,SYSTEM,,29,BOR,29
30,3D,SYSTEM,,30,3D,30
31,G&G,SYSTEM,,31,G&G,31
32,2D,SYSTEM,,32,2D,32
33,Paket Seismik,SYSTEM,,33,PAKET SEISMIK,33
34,Others,SYSTEM,,34,OTHERS,34
35,GF,SYSTEM,,35,GF,35
36,project,SYSTEM,,36,PROJECT,36
37,hole,SYSTEM,,37,HOLE,37
0,Sumur,System,,0,SUMUR,0
1,Kegiatan,System,,1,KEGIATAN,1
40,studi,System,,40,STUDI,40
41,km2,,,41,KM2,
