('WK00000527', 'K3S0001864', 'BOBARA', 'PETRONAS E&P BOBARA SDN. BHD.', 'EKSPLORASI', 'PSC', '2024-05-14', '2054-05-13', 'AKTIF')
('WK00000327', 'K3S0001220', 'PANGKAH', 'SAKA INDONESIA PANGKAH LTD.', 'EKSPLOITASI', 'PSC', '1996-05-08', '2026-05-07', 'AKTIF')
('WK00000333', 'K3S0000815', 'PASIR', 'PASIR PETROLEUM RESOURCES LTD.', 'EKSPLOITASI', 'PSC', '2009-05-05', '2039-05-04', 'AKTIF')
('WK00000489', 'K3S0001535', 'PEKAWAI', 'PT SAKA ENERGI SEPINGGAN', 'EKSPLORASI', 'GS', '2018-05-16', '2048-05-15', 'AKTIF'),
('WK00000336', 'K3S0001040', 'PERTAMINA EP', 'PT PERTAMINA EP', 'EKSPLOITASI', 'PSC', '2005-09-17', '2035-09-16', 'AKTIF'),
('WK00000490', 'K3S0001084', 'RAJA/PENDOPO', 'PT PERTAMINA HULU ENERGI RAJA TEMPIRAI', 'EKSPLOITASI', 'GS', '2019-07-06', '2039-07-05', 'AKTIF'),
('WK00000348', 'K3S0001012', 'RIMAU', 'PT MEDCO E&P RIMAU', 'EKSPLOITASI', 'GS', '1973-04-23', '2043-04-22', 'AKTIF'),
('WK00000492', 'K3S0001534', 'ROKAN', 'PT PERTAMINA HULU ROKAN', 'EKSPLOITASI', 'GS', '2021-08-09', '2041-08-08', 'AKTIF'),
('WK00000361', 'K3S0001576', 'SAMPANG', 'MEDCO ENERGI SAMPANG PTY. LTD.', 'EKSPLOITASI', 'PSC', '1997-12-04', '2027-12-03', 'AKTIF'),
('WK00000506', 'K3S0001545', 'SELAT PANJANG', 'PT SUMATRA GLOBAL ENERGI', 'EKSPLOITASI', 'GS', '2019-10-16', '2039-10-15', 'AKTIF'),
('WK00000378', 'K3S0001000', 'SEMBILANG', 'PT MANDIRI PANCA USAHA', 'EKSPLOITASI', 'PSC', '2011-04-01', '2031-03-31', 'AKTIF'),
('WK00000381', 'K3S0000496', 'SENORO - TOILI', 'JOB PERTAMINA - MEDCO E&P TOMORI SULAWESI', 'EKSPLOITASI', 'PSC', '1997-12-04', '2047-12-03', 'AKTIF'),
('WK00000391', 'K3S0000495', 'SIMENGGARIS', 'JOB PERTAMINA - MEDCO E&P SIMENGGARIS', 'EKSPLOITASI', 'PSC', '1998-02-24', '2028-02-23', 'AKTIF'),
('WK00000397', 'K3S0001612', 'SOUTH BENGARA II', 'SDA SOUTH BENGARA II PTE. LTD.', 'EKSPLOITASI', 'PSC', '2008-11-13', '2038-11-12', 'AKTIF'),
('WK00000510', 'K3S0001747', 'SOUTH CPP', 'PT EMP TUNAS ENERGI', 'EKSPLORASI', 'PSC', '2021-12-22', '2051-12-21', 'AKTIF'),
('WK00000402', 'K3S0000958', 'SOUTH EAST MADURA', 'PT ENERGI MINERAL LANGGENG', 'EKSPLOITASI', 'PSC', '2009-05-05', '2039-05-04', 'AKTIF'),
('WK00000415', 'K3S0001127', 'SOUTH SESULU', 'PT SAKA INDONESIA SESULU', 'EKSPLOITASI', 'PSC', '2009-05-05', '2039-05-04', 'AKTIF'),
('WK00000419', 'K3S0001120', 'SOUTH WEST BUKIT BARISAN', 'PT RIZKI BUKIT BARISAN ENERGI', 'EKSPLOITASI', 'PSC', '2008-11-13', '2038-11-12', 'AKTIF'),
('WK00000422', 'K3S0001083', 'SOUTHEAST SUMATRA', 'PT PERTAMINA HULU ENERGI OSES', 'EKSPLOITASI', 'GS', '2018-09-06', '2038-09-05', 'AKTIF'),
('WK00000434', 'K3S0000616', 'TARAKAN OFFSHORE', 'MANHATTAN KALIMANTAN INVESTMENT PTE. LTD.', 'EKSPLOITASI', 'PSC', '2003-10-14', '2033-10-13', 'AKTIF'),
('WK00000444', 'K3S0001095', 'TUBAN', 'PT PERTAMINA HULU ENERGI TUBAN EAST JAVA', 'EKSPLOITASI', 'GS', '2018-05-20', '2038-05-19', 'AKTIF'),
('WK00000446', 'K3S0000678', 'TUNGKAL', 'MONTD''OR OIL TUNGKAL LTD.', 'EKSPLOITASI', 'GS', '1992-08-26', '2042-08-25', 'AKTIF'),
('WK00000384', 'K3S0000197', 'SERAM NON BULA', 'CITIC SERAM ENERGY LTD.', 'EKSPLOITASI', 'GS', '1999-11-01', '2039-10-31', 'AKTIF'),
('WK00000420', 'K3S0000513', 'SOUTHEAST PAPUA', 'KAU 2 PTE. LTD.', 'EKSPLORASI', 'PSC', '2015-05-22', '2045-05-21', 'AKTIF'),
('WK00000433', 'K3S0001014', 'TARAKAN', 'PT MEDCO E&P TARAKAN', 'EKSPLOITASI', 'GS', '1982-01-14', '2042-01-13', 'AKTIF'),
('WK00000442', 'K3S0000957', 'TONGA', 'PT EMP TONGA', 'EKSPLOITASI', 'PSC', '2007-01-16', '2037-01-15', 'AKTIF'),
